perturbation,mse,pearson,mse_de,pearson_de
AHR+KLF1,0.0043512057,0.9874367847913573,0.6921374,0.9573535571398679
ARID1A+ctrl,0.0053925365,0.9833745615215047,0.24054489,0.9242665446072351
BCL2L11+BAK1,0.0005362396,0.9983755733823336,0.009999299,0.9987450293265283
BCL2L11+TGFBR2,0.00087641913,0.9973168447750881,0.11461375,0.9262586034601554
BCL2L11+ctrl,0.00025941266,0.9992075881408229,0.0148350075,0.9711375120095909
BCORL1+ctrl,0.00074295275,0.9977443064776468,0.07762053,0.9674758093242417
C3orf72+FOXL2,0.0057317205,0.9825053100107244,0.0017722991,0.0
C3orf72+ctrl,0.0033438888,0.9897624753672096,0.17719883,0.9779550679959357
CBL+CNN1,0.012753352,0.9609822070526625,1.6694973,0.6003650250204373
CBL+PTPN12,0.0073287645,0.9775500139141745,0.9599959,0.6649427341180854
CBL+PTPN9,0.0058888937,0.981899986024928,0.6039058,0.8496806250186637
CBL+TGFBR2,0.003975476,0.9876948168956599,0.45010298,0.9335923062171787
CBL+UBASH3A,0.005702626,0.9824866710031034,0.0027965019,0.0
CBL+UBASH3B,0.010748105,0.9669381069016305,1.2463343,0.6852607080363669
CBL+ctrl,0.0019757599,0.9939742709582814,0.25211722,0.918266166059766
CDKN1A+ctrl,0.0033855464,0.9896844893375416,0.13830706,0.9819334279745817
CDKN1B+CDKN1A,0.0063971663,0.9804174728610455,0.23225448,0.9683777736499906
